id;assessmentDate;assessmentRound;assessedBy;approvedBy;documentationScreening;documentationPopulationReduction;documentationGeographicExtent;documentationPopulationSize;documentationQuantitativeAnalysis;scientificName;vernacularName;population;taxonID;scientificNameAuthorship;family;order;speciesGroup;redlistCategory;redlistCategoryCriteria;redlistCategoryUpDownListing;habitat.ecosystems;habitat.overallHabitatTypes;habitat.specificHabitatTypes;habitat.overallSubstrates;habitat.substrates;habitat.diets;habitat.dietsSpecies;habitat.dietsGenera;humidity.min;humidity.max;reaction.min;reaction.max;nutrient.min;nutrient.max;salinity.min;salinity.max;lightCondition.min;lightCondition.max;temperature.min;temperature.max;disturbance.min;disturbance.max;geography.extentOfOccurrence;geography.areaOfOccurrence;geography.numberOfLocations;geography.fragmented;reduction.amount;reduction.timespan;population.matureIndividuals;quantitativeAnalysis;additionalInformation.yearOfFirstRecord;additionalInformation.yearOfMostRecentRecord;additionalInformation.trend;extended.historicNumberOfLocalities;extended.historicTrendDescription;extended.native;extended.geographicExtentCrossesRegion;extended.threats;extended.overallThreats;extended.nationalDistribution;extended.totalDistribution;extended.commentsForUpdownListing;extended.commentsForNomenclature;extended.references;extended.commentsForAdditionalInformation;extended.additionalComments
8867;2018;2019;Peter Wind;Søren Grøntved;Hunde-hvene er hjemmehørende i Danmark. I Pedersen (1974) var hunde-hvene mere udbredt uden for sandjordsområderne både i Jylland og på Øerne i AFD (Hartvig 2015). Hunde-hvene er registreret i 517 ruder i AFD (Hartvig 2015). Bestandsudvikling: I svag tilbagegang.;;;;;Agrostis canina;Hunde-hvene;National;;L.;Poaceae;Poales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hunde-hvenes voksesteder har i alt fald tidligere været udsat for afvanding og eutrofiering. På de recente voksesteder optræder den som tæppedanner ofte i store bestande.;;False;;;;;;;;;Hunde-hvene er almindelig på næringsfattig, fugtig bund i Nord-, Midt- og Vestjylland, samt i Nordsjælland og på Bornholm. På de øvrige øer og i resten af Jylland er den sjælden.
8868;2018;2019;Peter Wind;Søren Grøntved;Almindelig hvene er hjemmehørende i Danmark. Almindelig hvene er registreret i 1358 ruder i AFD (Hartvig 2015). Bestandsudvikling: Stabil eller i fremgang, da arten spreder sig fra vejskrænter og vejrabatter.;;;;;Agrostis capillaris;Almindelig hvene;National;;L.;Poaceae;Poales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Increasing;;;;False;;;;;;;;;Almindelig hvene er almindelig i Danmark. Arten indgår i frøblandinger, der udsås på vejskrænter og vejrabatter.
8877;2018;2019;Peter Wind;Søren Grøntved;Stortoppet hvene er hjemmehørende i Danmark. Stortoppet hvene er registreret i 951 ruder i AFD (Hartvig 2015). Bestandsudvikling: Stabil eller i fremgang, da arten spreder sig til skovlysninger vejrabatter og fugtig kulturjord.;;;;;Agrostis gigantea;Stortoppet hvene;National;;Roth;Poaceae;Poales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Increasing;;;;False;;;;;;;;;Stortoppet hvene er almindelig i de fleste egne af Danmark.
8873;2018;2019;Peter Wind;Søren Grøntved;Kryb-hvene er hjemmehørende i Danmark. Kryb-hvene er registreret i 1354 ruder i AFD (Hartvig 2015). Bestandsudvikling: Stabil eller i fremgang, da arten spreder sig fra vejskrænter og vejrabatter.;;;;;Agrostis stolonifera;Kryb-hvene;National;;L.;Poaceae;Poales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Increasing;;;;False;;;;;;;;;Kryb-hvene er almindelig i Danmark. Arten indgår i den frøblanding, der udsås på vejskrænter og vejrabatter.
8870;2018;2019;Peter Wind;Søren Grøntved;Sand-hvene er hjemmehørende i Danmark. I forhold til Pedersen (1974) er udbredelsen af sand-hvene omtrent den samme i AFD (Hartvig 2015). Sand-hvene er registreret i 200 ruder i AFD (Hartvig 2015). Bestandsudvikling: Stabil eller i fremgang, da arten spreder sig til sandede vejrabatter, brandbælter og grusgrave.;;;;;Agrostis vinealis;Sand-hvene;National;;Schreb.;Poaceae;Poales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stable;;;;False;;;;;;;;;Sand-hvene er hyppig på tør, sur sandbund i Vendsyssel, Vestjylland og på Bornholm og optræder som pionerplante i vindbrud på indlandsklitter.
8879;2018;2019;Peter Wind;Søren Grøntved;Udspærret dværgbunke er hjemmehørende i Danmark. I forhold til Pedersen (1974) er arten blevet mindre hyppig i Østdanmark i AFD (Hartvig 2015). Udspærret dværgbunke er registreret i 751 ruder i AFD (Hartvig 2015). Den har så mange bestande på landsplan, at en evt. mindre fremtidig tilbagegang ikke er en trussel for arten.;;;;;Aira caryophyllea;Udspærret dværgbunke;National;;L.;Poaceae;Poales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nordgrænsen for udspærret dværgbunke går gennem Danmark (Hultén & Fries 1986).;;True;;;;;;;;;Udspærret dværgbunke er almindelig på tørre, sandede steder i Danmark.
8874;2018;2019;Peter Wind;Søren Grøntved;Tidlig dværgbunke er hjemmehørende i Danmark. I forhold til Pedersen (1974) er arten blevet markant sjældnere i indlandet på Øerne i AFD (Hartvig 2015). Tidlig dværgbunke er registreret i 1027 ruder i AFD (Hartvig 2015). Den har så mange bestande på landsplan, at en evt. mindre fremtidig tilbagegang ikke er en trussel for arten.;;;;;Aira praecox;Tidlig dværgbunke;National;;L.;Poaceae;Poales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;Tidlig dværgbunke er almindelig på tørre, sandede steder i Danmark, dog sjældnere i de indre dele af Øerne (Hartvig 2015).
8876;2018;2019;Peter Wind;Søren Grøntved;;;Beregningen af EOO og AOO er foretaget med IUCN programmet GeoCAT. Arten er forsvundet fra mange lokaliteter Vest- og Sydvestjylland og er ikke registreret på Øerne bortset fra Bornholm i atlasperioden 1992-2015 (Hartvig 2015).;;;Ajuga pyramidalis;Pyramide-læbeløs;National;;L.;Lamiaceae;Lamiales;Karplanter;EN;B2ab;;Terrestrisk;Skov og krat, Mose og eng;Tørt krat, Fersk natureng, sur;;Fint/groft sand, Store sten/klipper;;;;;;;;;;;;;;;;;;;;;;;;;;;;Decreasing;118;Hos Pedersen (1969) er der markeret 118 lokaliteter for pyramide-læbeløs. Arten er forsvundet fra mange lokaliteter Vest- og Sydvestjylland og er ikke registreret på Øerne bortset fra Bornholm i atlasperioden 1992-2015 (Hartvig 2015).;;True;;;Pyramide-læbeløs er en arkæofyt. Planten forekommer i Vendsyssel, Himmerland, Thy, Vestjylland og på Bornholm. Arten er registreret i 39 ruder i AFD (Hartvig 2015).;Pyramide-læbeløs har en europæisk udbredelse, der strækker sig fra den nordlige del af Den iberiske Halvø over Frankrig, Centraleuropa, Alperne til Balkan og mod nord over De britiske Øer og Skandinavien til Kola Halvøen. Nordgrænsen for artens udbredelse går gennem Danmark (Hultén &.Fries 1986).;;;Hartvig 215, Hultén & Fries 1986, Pedersen 1969;Bestandsudviklingen for pyramide-læbeløs er i tilbagegang.;Angivelsen af antallet af lokaliteter, arten tidligere har været kendt på i Danmark, er fremkommet ved at optælle antallet af prikker på udbredelseskortet i TBU-afhandlingen (Pedersen 1969).
8883;2018;2019;Peter Wind;Søren Grøntved;Krybende læbeløs er hjemmehørende i Danmark. Den er registreret i 574 ruder i AFD (Hartvig 2015). Bestandsudvikling: Stabil.;;;;;Ajuga reptans;Krybende læbeløs;National;;L.;Lamiaceae;Lamiales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stable;;;;False;;;;;;;;;Krybende læbeløs er ret almindelig i Østdanmark, i øvrigt sjælden og meget sjælden på Bornholm. Arten kan undertiden være forvildet fra dyrkning.
8884;2018;2019;Peter Wind;Søren Grøntved;;;Beregningen af EOO og AOO er foretaget med IUCN programmet GeoCAT.;;;Alchemilla acutiloba;Spidslappet løvefod;National;;Opiz;Rosaceae;Rosales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Increasing;38;Spidslappet løvefod forekommer i Østjylland, på Fyn, Langeland, Sjælland og Bornholm. Arten er hyppigst i Sydøstjylland og på Bornholm (Pedersen 1965). I forhold hertil har spidslappet løvefod øget hyppighed i Nordjylland og på Fyn i AFD, samt at den er fundet som ny for Anholt (Hartvig 2015).;;True;;;Spidslappet løvefod er en hjemmehørende arkæofyt. Den er registreret på 123 lokaliteter i 70 ruder i AFD (Hartvig 2015).;Spidslappet løvefod forekommer naturligt i den sydlige del af Fennoskandien, Centraleuropa og Balkan. Mod øst når udbredelsen Ural. Nordvestgrænsen for artens naturlige udbredelse går gennem Danmark (Hultén & Fries 1986).;;;Hartvig 2015, Hultén & Fries 1986, Pedersen 1965;Spidslappet løvefod er ret almindelig i det centrale og østlige Sydjylland og på Bornholm, sjælden i det øvrige Danmark og ikke registreret i Vestjylland. Bestandsudviklingen for arten er i fremgang.;Angivelsen af antallet af lokaliteter, arten tidligere har været kendt på i Danmark, er fremkommet ved at optælle antallet af prikker på udbredelseskortet i TBU-afhandlingen (Pedersen 1965).
8892;2018;2019;Peter Wind;Søren Grøntved;;;Beregningen af EOO og AOO er foretaget med IUCN programmet GeoCAT ved indsættelse af de 36 ruder i AFD (Hartvig 2015) på Danmarkskortet. Trådstænglet løvefod er i forhold til Pedersen (1965) gået tilbage på Øerne og er ikke registreret på Bornholm i AFD. Der er samtidig flere nyfund i Syd- og Østjylland (Hartvig 2015).;;;Alchemilla filicaulis var. filicaulis;Trådstænglet løvefod;National;;;Rosaceae;Rosales;Karplanter;NT;B2b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Decreasing;40;Trådstænglet løvefod er i forhold til Pedersen (1965) gået tilbage på Øerne og er ikke registreret på Bornholm i AFD. Der er samtidig flere nyfund i Syd- og Østjylland (Hartvig 2015).;;False;;;Trådstænglet løvefod er en arkæofyt. Den er ret sjælden i NØ-Sjælland og kalkområderne i Himmerland, i øvrigt sjælden til meget sjælden. Arten kan være overset eller underrapporteret pga. vanskeligheden med at adskille den fra håret løvefod. Den er registreret i 36 ruder i AFD (Hartvig 2015).;Trådstænglet løvefod forekommer naturligt i den nordlige del af De britiske Øer, Alperne, Pyrenæerne, Baltikum og Fennoscandien. Artens udbredelse omfatter også Island, den sydlige del af Grønland og Labrador (Hultén & Fries 1986).;;I Pedersen (1965) optræder trådstænglet løvefod som selvstændig art, mens den nu henføres som hovedvarietet var. filicaulis af Alchemilla filicaulis Burser, mens håret løvefod henføres til varieteten (A. filicaulis Burser var. vestita (Burser) ME Bradshaw). Der er derfor foretaget en rødlistevurdering af varieteten.;Hartvig 2015, Hultén & Fries 1986, Pedersen 1965;Bestandsudviklingen for trådstænglet løvefod er tilbagegang.;Angivelsen af antallet af lokaliteter, arten tidligere har været kendt på i Danmark, er fremkommet ved at optælle antallet af prikker på udbredelseskortet i TBU-afhandlingen (Pedersen 1965).
8896;2018;2019;Peter Wind;Søren Grøntved;;;Beregningen af EOO og AOO er foretaget med IUCN programmet GeoCAT ved indsættelse af de 123 ruder i AFD (Hartvig 2015) på Danmarkskortet. Håret løvefod er i forhold til Pedersen (1965) blevet sjældnere i AFD (Hartvig 2015).;Bestandsudviklingen for håret løvefod er tilbagegang.;;Alchemilla filicaulis var. vestita;Håret løvefod;National;;(Buser) Rothm.;Rosaceae;Rosales;Karplanter;NT;B2b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Decreasing;137;Håret løvefod er i forhold til Pedersen (1965) blevet sjældnere i AFD (Hartvig 2015).;;False;;;Håret løvefod er en arkæofyt. Den er fortsat ret almindelig i NØ- og Midtsjælland, på Midtfyn samt i Østjylland og ellers sjælden eller manglende (Hartvig 2015). Arten er registreret i 123 ruder i AFD (Hartvig 2015).;Håret løvefod forekommer naturligt i Pyrenæerne, Alperne, De britiske Øer, Fennoscandien, Island, Sydgrønland og Labrador (Hultén & Fries 1986).;;I Pedersen (1965) optræder håret løvefod som selvstændig art, mens den nu henføres som varietet var. vestita (Burser) ME Bradshaw af Alchemilla filicaulis Burser, mens trindstænglet løvefod henføres til hovedvarieteten (A. filicaulis Burser var. filicaulis). Der er derfor foretaget en rødlistevurdering af varieteten.;Hartvig 2015, Hultén & Fries 1986, Pedersen 1965;;Angivelsen af antallet af lokaliteter, arten tidligere har været kendt på i Danmark, er fremkommet ved at optælle antallet af prikker på udbredelseskortet i TBU-afhandlingen (Pedersen 1965).
8891;2018;2019;Peter Wind;Søren Grøntved;Glat løvefod er hjemmehørende i Danmark. Den er registreret i 386 ruder i AFD (Hartvig 2015). Bestandsudvikling: Stabil.;;;;;Alchemilla glabra;Glat løvefod;National;;Neygenf.;Rosaceae;Rosales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stable;;;;False;;;;;;;;;Glat løvefod er ret almindelig i gammelskovsrige områder i NØ- og Vestsjælland, på Østfyn, i det nordlige Sydjylland, Østjylland (undtagen Djursland), Vendsyssel samt på Bornholm og i øvrigt sjælden (Hartvig 2015).
8894;2018;2019;Peter Wind;Søren Grøntved;;Blågrøn løvefod er i forhold til Pedersen (1965) blevet sjældnere på Øerne og stedvis i Jylland, mens bestandudviklingen på Bornholm er stabil (Hartvig 2015).;Beregningen af EOO og AOO er foretaget med IUCN programmet GeoCAT baseret på data fra AFD (Hartvig m fl. 2015). Arten er siden TBU (1965) gået tilbage på Øerne, men holder stand på Bornholm. I Jylland er den stedvis blevet sjældnere, men muligvis hyppigere i NV-Jylland. Dette kan dog skyldes lavere undersøgelsesintensivitet i TBU i dette område. Samme trend ses i NOVANA habitatovervågningen hvor arten er gået statistisk signifikant tilbage.;Bestandsudviklingen for blågrøn løvefod er tilbagegang.;;Alchemilla glaucescens;Blågrøn løvefod;National;;Wallr.;Rosaceae;Rosales;Karplanter;NT;B2b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Decreasing;108;Blågrøn løvefod er siden TBU (Pedersen 1965) gået tilbage på Øerne, men synes at holde stand på Bornholm. I Jylland er den stedvis blevet sjældnere, men synes dog at være blevet hyppigere i NV-Jylland. Dette skal dog nok tilskrives lavere undersøgelsesintensitet i TBU i dette område (Hartvig 2015).;;False;;;Blågrøn løvefod er en arkæofyt og almindelig til ret almindelig på Bornholm samt lokalt i morænelersområderne i NV-Jylland, ret sjælden til sjælden på de østlige Øer samt i Nord- og Østjylland og i øvrigt meget sjælden. Arten er registreret på 136 lokaliteter i 77 ruder i AFD (Hartvig 2015).;Grå løvefods har central-østeuropæisk-skandinavisk udbredelse med spredte forekomester i England, Irland, Korsika og Italien samt på Krim (Hultén & Fries 1986).;;;Hartvig 2015, Hultén & Fries 1986, Pedersen 1965;-;
8889;2018;2019;Peter Wind;Søren Grøntved;Glansbladet løvefod er hjemmehørende i Danmark. I forhold til Pedersen (1965) er arten nu mindre hyppig især på Øerne i AFD, hvor en stor del af de registrerede lokaliteter er nye (Hartvig 2015). Glansbladet løvefod er registreret på 175 lokaliteter i 89 ruder. Bestandsudvikling: Stabil.;;;;;Alchemilla micans;Glansbladet løvefod;National;;Buser;Rosaceae;Rosales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stable;;;;True;;;;;;;;Nordvestgrænsen for glansbladet løvefods naturlige udbredelse går gennem Danmark (Hultén & Fries 1986).;Glansbladet løvefod forekommer i Sydjylland og på Bornholm, sjælden og spredt i morænelrsområder i det øvrige Danmark (Hartvig 2015).
8890;2018;2019;Peter Wind;Søren Grøntved;;;Beregningen af EOO og AOO er foretaget med IUCN programmet GeoCAT. Grå løvefod forekom spredt i Jylland, på Samsø og Sjælland samt hyppigst på Bornholm (Pedersen 1965). Arten er blevet markant sjældnere på Bornholm og er ikke genfundet i Midt- og Sydøstjylland (Hartvig 2015).;Bestandsudviklingen for grå løvefod er tilbagegang.;;Alchemilla monticola;Grå løvefod;National;;Opiz;Rosaceae;Rosales;Karplanter;EN;B2ab;;Terrestrisk;Mose og eng;Kultureng;;Mor, Muld;;;;;;;;;;;;;;;;;;;;;;;;;;;;Decreasing;;Grå løvefod forekom spredt i Jylland, på Samsø og Sjælland samt hyppigst på Bornholm (Pedersen 1965). Arten er blevet markant sjældnere på Bornholm og er ikke genfundet i Midt- og Sydøstjylland (Hartvig 2015).;;True;;;Grå løvefod er en arkæofyt og registreret i ni ruder i AFD (Hartvig 2015).;Grå løvefod har central-østeuropæisk-skandinavisk udbredelse. Vestgrænsen for grå løvefods naturlige udbredelse går gennem Danmark (Hultén & Fries 1986).;;;Hartvig 2015, Hultén & Fries 1986, Pedersen 1965;Bestandsudviklingen for grå løvefod er i tilbagegang.;Grå løvefods tilhørsforhold til den danske flora har været omdiskuteret. I rødlistevurderingen følges Pedersens opfattelse (1965) af, at arten i alt fald er hjemmehørende på Bornholm.
8901;2018;2019;Peter Wind;Søren Grøntved;;;Da butlappet løvefod er apomikt, anses dens muligheder for genetisk udveksling over større afstande at være begrænsede, hvorfor de sydsjællandske bestande formodes at være isoleret fra de københavnske bestande, der igen anses for at være isolerede fra de skånske. Beregningen af EOO og AOO er foretaget med IUCN programmet GeoCAT. Arten er i forhold til Pedersen (1965) blevet sjældnere i Sydøstsjælland i AFD, ligesom den ikke er blevet registreret på Møn og Bornholm (Hartvig 2015).;;;Alchemilla subcrenata;Butlappet løvefod;National;;Buser;Rosaceae;Rosales;Karplanter;EN;"B1ab; B2ab";;Terrestrisk;Mose og eng;Kultureng;;Mor, Muld;;;;;;;;;;;;;;;;;;;;;;;;;;;;Decreasing;31;Butlappet løvefod er i forhold til Pedersen (1965) blevet sjældnere i Sydøstsjælland i AFD, ligesom den ikke er blevet registreret på Møn og Bornholm (Hartvig 2015).;;True;;;Butlappet løvefod en arkæofyt og forekommer nu ved København og i Sydøstsjælland. Arten er registreret i 11 ruder i AFD (Hartvig 2015).;Butlappet løvefod har en central-, østeuropæisk-skandinavisk udbredelse med spredte forekomster i England og på Island. Vestgrænsen for artens naturlige udbredelse går gennem Danmark (Hultén & Fries 1986).;;;Hartvig 2015, Hultén & Fries 1986, Pedersen 1965;Bestandsudviklingen for butlappet løvefod er tilbagegang.;Angivelsen af antallet af lokaliteter, arten tidligere har været kendt på i Danmark, er fremkommet ved at optælle antallet af prikker på udbredelseskortet i TBU-afhandlingen (Pedersen 1965).
8900;2018;2019;Peter Wind;Søren Grøntved;;;Beregningen af EOO og AOO er foretaget med IUCN programmet GeoCAT. Gulgrøn løvefod er almindelig til ret almindelig i Østjylland og nordøstlige Sydjylland samt på Fyn, ret almindelig på Bornholm, ret sjælden i Sydsjælland, i øvrigt sjælden eller manglende (Hartvig 2015).;;;Alchemilla xanthochlora;Gulgrøn løvefod;National;;Rothm.;Rosaceae;Rosales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stable;154;;;False;;;Gulgrøn løvefod en arkæofyt og er almindelig til ret almindelig i Østjylland og nordøstlige Sydjylland samt på Fyn, ret almindelig på Bornholm, ret sjælden i Sydsjælland, i øvrigt sjælden eller manglende (Hartvig 2015). Arten er registreret i 211 ruder i AFD (Hartvig 2015).;Gulgrøn løvefod har vest-, centraleuropæisk-skandinavisk udbredelse (Hultén & Fries 1986).;;;Hartvig 2015, Hultén & Fries 1986, Pedersen 1965;Bestanden af gulgrøn løvefod er stabil eller svagt vigende.;
